	size	noverlap	hg_fdr	fej_fdr	ks_fdr
GO:1903557	56	31	2.34714368023852e-16	1.26324142512261e-15	0.104402157807985
GO:1903555	102	66	1.88153506914395e-39	1.18968852002715e-38	0.00214756664710376
GO:0098602	444	135	6.26481287755037e-32	1.87859402215635e-31	0.000506836492256746
GO:2000278	89	35	1.20893471758695e-12	4.66765187466142e-12	0.325202970132435
GO:0050658	169	13	0.980892950641367	1	0.770407946126075
GO:0050657	169	13	0.980892950641367	1	0.770407946126075
GO:1903510	108	13	0.378423714341076	0.505212694805091	0.642818124821914
GO:1903509	108	3	1	1	0.185994570286293
GO:0072073	58	21	2.23977603401334e-07	7.94422527905721e-07	0.434962158542426
GO:0060078	54	19	1.420389435785e-06	4.90561817849212e-06	0.316047376682238
GO:0072091	59	24	2.06825561334183e-09	8.26605880487776e-09	0.428632050605284
GO:0060041	57	11	0.0375631128795915	0.0744536620975201	0.602371201193765
GO:0098656	243	12	1	1	0.595321361269798
GO:0098657	55	11	0.0295973789898255	0.0606770235305873	0.463012204325429
GO:1903578	51	20	9.64078174767142e-08	3.7069528930599e-07	0.384126534369279
GO:0098661	111	6	1	1	0.583389080449526
GO:0098662	500	68	0.012796022609617	0.0176717584463063	0.854805086983699
GO:0060070	86	30	1.49987932100707e-09	5.1625262804328e-09	0.296027093054551
GO:0060071	100	17	0.0334919953059856	0.0586473765723477	0.828244178343132
GO:0001666	251	97	2.81967125587597e-32	1.07028121976719e-31	0.0910439417198015
GO:0001667	148	61	2.35723146009671e-22	9.5132559714687e-22	0.0711450625938231
GO:0001676	92	14	0.10956166601619	0.175307517407796	0.915203812897185
GO:0001678	63	26	2.93784498230506e-10	1.18881140604152e-09	0.041894090529096
GO:0001649	100	34	2.55873585112632e-10	8.57987091200773e-10	0.143792432904506
GO:0001654	81	16	0.0103277147899041	0.0207417631931719	0.95262761726629
GO:0023014	374	105	5.31001854441756e-22	1.46780604282607e-21	0.0539473840612369
GO:0072594	350	37	0.527130322499263	0.606198536617585	0.546594354819207
